name,datetime,tempmax,tempmin,temp,humidity,precip,windspeed
"Pasig, National Capital Region, Philippines",2025-01-01,84.2,78,80.8,84,0.031,10.5
"Pasig, National Capital Region, Philippines",2025-01-02,89.6,77.2,82.7,78,0,7.4
"Pasig, National Capital Region, Philippines",2025-01-03,86.5,78,81.7,81.3,0.032,7.1
"Pasig, National Capital Region, Philippines",2025-01-04,87.8,76.2,80.9,77.5,0.092,9.4
"Pasig, National Capital Region, Philippines",2025-01-05,86.3,76.6,79.8,67.8,0,12.7
"Pasig, National Capital Region, Philippines",2025-01-06,85,74.8,79.4,76.4,0,9.1
"Pasig, National Capital Region, Philippines",2025-01-07,86,74.9,79.4,78.3,0.002,9
"Pasig, National Capital Region, Philippines",2025-01-08,85.8,76.9,80.8,74.4,0,12.7
"Pasig, National Capital Region, Philippines",2025-01-09,86.4,76.9,80.9,71.7,0,14.5
"Pasig, National Capital Region, Philippines",2025-01-10,86.2,76.8,80.5,70.6,0,11.6
"Pasig, National Capital Region, Philippines",2025-01-11,85,77.1,80.9,72.2,0.007,10.7
"Pasig, National Capital Region, Philippines",2025-01-12,83.9,75.9,79.6,74.7,0.013,9.4
"Pasig, National Capital Region, Philippines",2025-01-13,85.4,75.7,80.4,74.1,0.006,13.9
"Pasig, National Capital Region, Philippines",2025-01-14,85.4,76.8,81.2,77.4,0.011,13.5
"Pasig, National Capital Region, Philippines",2025-01-15,87.1,75.7,81.8,78.9,0,7.6
"Pasig, National Capital Region, Philippines",2025-01-16,90,75.7,82.1,73,0.002,12.8
"Pasig, National Capital Region, Philippines",2025-01-17,88.4,75.5,81.5,73.8,0,13.7
"Pasig, National Capital Region, Philippines",2025-01-18,88.6,76.9,82,74.8,0,14.8
"Pasig, National Capital Region, Philippines",2025-01-19,87,75.5,81.5,79.5,0.005,16.5
"Pasig, National Capital Region, Philippines",2025-01-20,85.2,77.7,81.1,82,0.002,13.6
"Pasig, National Capital Region, Philippines",2025-01-21,88.4,76.6,81.7,75.3,0,14.6
"Pasig, National Capital Region, Philippines",2025-01-22,86.6,76.1,81.5,72.5,0,14.6
"Pasig, National Capital Region, Philippines",2025-01-23,87.8,75.4,81.2,72.5,0,14.2
"Pasig, National Capital Region, Philippines",2025-01-24,88.6,76.4,83,74.1,0,15.7
"Pasig, National Capital Region, Philippines",2025-01-25,88.6,75.9,82.5,76.1,0,10.8
"Pasig, National Capital Region, Philippines",2025-01-26,87.7,76.4,81.6,75.4,0.001,10
"Pasig, National Capital Region, Philippines",2025-01-27,87,74.6,80.1,69.6,0,10.5
"Pasig, National Capital Region, Philippines",2025-01-28,85.4,72.5,79,70.8,0,9.1
"Pasig, National Capital Region, Philippines",2025-01-29,85.4,73.8,80,69.6,0,18.1
"Pasig, National Capital Region, Philippines",2025-01-30,85.4,77.2,80.7,68.3,0.006,23.1
"Pasig, National Capital Region, Philippines",2025-01-31,85.4,75.2,80.3,79.9,0.031,13.9
"Pasig, National Capital Region, Philippines",2025-02-01,90,77.6,83.4,69.5,0,10.4
"Pasig, National Capital Region, Philippines",2025-02-02,91.4,75.4,83.4,72.9,0,9.2
"Pasig, National Capital Region, Philippines",2025-02-03,87.6,78,82.1,76.6,0,11
"Pasig, National Capital Region, Philippines",2025-02-04,84.2,76.6,79.9,78.1,0.041,8.7
"Pasig, National Capital Region, Philippines",2025-02-05,87.9,75.8,80.2,70.3,0,15.5
"Pasig, National Capital Region, Philippines",2025-02-06,85.8,75,79.5,71.7,0.019,9.6
"Pasig, National Capital Region, Philippines",2025-02-07,84.2,76.2,79.3,80.8,0.026,8.1
"Pasig, National Capital Region, Philippines",2025-02-08,85.5,75.2,79.2,79.2,0.046,12.7
"Pasig, National Capital Region, Philippines",2025-02-09,84.5,74,78.6,77.7,0.066,10.8
"Pasig, National Capital Region, Philippines",2025-02-10,85,76,79.8,78.9,0.177,17.2
"Pasig, National Capital Region, Philippines",2025-02-11,87,75.7,80.5,83.7,0.045,12.2
"Pasig, National Capital Region, Philippines",2025-02-12,90.9,78.8,83.8,72.4,0,12.9
"Pasig, National Capital Region, Philippines",2025-02-13,88.7,77.1,82.4,79,0.876,12
"Pasig, National Capital Region, Philippines",2025-02-14,87.1,78.3,82.1,79.3,0.122,10
"Pasig, National Capital Region, Philippines",2025-02-15,88.6,76.8,82.5,78.6,0,6.2
"Pasig, National Capital Region, Philippines",2025-02-16,91.4,78.4,84.5,73.9,0.008,10
"Pasig, National Capital Region, Philippines",2025-02-17,88.2,78.6,83.6,74.7,0.591,11.2
"Pasig, National Capital Region, Philippines",2025-02-18,86.8,77.7,81.9,77.1,0.303,12.5
"Pasig, National Capital Region, Philippines",2025-02-19,86.9,77.1,82.1,69,0,20.7
"Pasig, National Capital Region, Philippines",2025-02-20,84.9,76.4,79.5,78.8,0.053,11.7
"Pasig, National Capital Region, Philippines",2025-02-21,86.6,78.4,81.2,74.4,0.01,12.5
"Pasig, National Capital Region, Philippines",2025-02-22,88.1,78.2,82.2,65.2,0,15.8
"Pasig, National Capital Region, Philippines",2025-02-23,88.4,77.5,82.5,64.7,0,14.2
"Pasig, National Capital Region, Philippines",2025-02-24,86.6,75.2,81,68.5,0.004,13.7
